,id,Track Name,date
0,0EPxmvsG1BY5td4aTOkWBF,Deu Onda,2017-01-01
1,1a5Yu5L18qNxVhXx38njON,Hear Me Now,2017-01-01
2,2wFnRPjuqwNySFiK0Qfg8L,10% - Ao Vivo,2017-01-01
3,45wqPwIH4A5cr2IyyD4WKf,Eu Sei de Cor - Ao Vivo | Acústico,2017-01-01
4,6zCqeUUqLb2CapBmVwAHll,Meu Coração Deu PT - Ao Vivo,2017-01-01
5,2CW04trIoYMbroZWDzPAjs,Medo Bobo - Ao Vivo,2017-01-01
6,4FxumkF81ICxITeqxx4nK9,Sim ou não (participação especial Maluma),2017-01-01
7,7BKLCZ1jbUBVqRi2FVlTVw,Closer,2017-01-01
8,2DAGCHu5aoo2FOjmtU9ojo,50 Reais,2017-01-01
9,38MpAndIjGAyVdcC6npX95,Infiel - Ao Vivo,2017-01-01
10,0jIitZeIQRTaZgFQf2WpGK,Decide Aí - Na Praia / Ao Vivo,2017-01-01
11,2d3TbSkAscvT3QRQalq6uT,Te Assumi Pro Brasil - Ao Vivo,2017-01-01
12,7DRP2VOMpy1rrk3iYFLCW9,Malandramente,2017-01-01
13,6DNtNfH8hXkqOX1sjqmI7p,Cold Water (feat. Justin Bieber & MØ),2017-01-01
14,5aAx2yezTd8zXrkmtKl66Z,Starboy,2017-01-01
15,6SwI4OplF8m5NH8wHKIps8,O Nosso Santo Bateu - Na Praia / Ao Vivo,2017-01-01
16,4pdPtRcBmOSQDlJ3Fk945m,Let Me Love You,2017-01-01
17,000xYdQfIZ4pDmBGzQalKU,"Eu, Você, O Mar e Ela",2017-01-01
18,2Gvn46nwyQhUnQiFhlP7WX,Como Faz Com Ela - Ao Vivo,2017-01-01
19,6vve9WKW5I7fQzkU8dNsUE,E Essa Boca Aí? - Ao Vivo,2017-01-01
20,2GfxgssRHvY1azHtaRqKoK,Paredes - Ao Vivo,2017-01-01
21,41mt7YrfLrIc4EQJZFCJtw,Como É Que a Gente Fica - Ao Vivo,2017-01-01
22,1xznGGDReH1oQq0xzbwXa3,One Dance,2017-01-01
23,4aAq1afusFG6jRiOSHQZvN,Tumbalatum,2017-01-01
24,12wiyBZqQ3mOU7AfygXJCw,Homem de Família - Ao Vivo,2017-01-01
25,3dRBzTOu9polrH9U6Vh2zw,Ou Some Ou Soma - Ao Vivo,2017-01-01
26,5SnQDj5REQVvAdSlhqkEcE,Malbec (Part. Dennis Dj) - Ao Vivo,2017-01-01
27,1vvNmPOiUuyCbgWmtc6yfm,My Way,2017-01-01
28,1xFgXCY8Zvo76gHg4RgUaU,Sosseguei - Ao Vivo,2017-01-01
29,5MFzQMkrl1FOOng9tq6R9r,Don't Wanna Know,2017-01-01
30,0Zu7NVn4IvfYuEIrD11UVr,Na Hora da Raiva - Ao Vivo,2017-01-01
31,4pLwZjInHj3SimIyN9SnOz,Side To Side,2017-01-01
32,6b8Be6ljOzmkOmFslEb23P,24K Magic,2017-01-01
33,4SCH5CuivFcShLpTg8lYOf,Bumbum Granada,2017-01-01
34,1ypcU9264wnBwPvmrIy4fx,Você Merece Cachê - Ao Vivo,2017-01-01
35,2InJDvDcA4RXEeA9njdibl,Louca de Saudade - Ao Vivo,2017-01-01
36,6mICuAdrwEjh6Y6lroV2Kg,Chantaje (feat. Maluma),2017-01-01
37,0GR7ZABhVF9GbxghIx2RRv,Nada Nada - Ao Vivo,2017-01-01
38,1WCn5QBp0Kl9uHrR0J02GS,Vou Voando - Ao Vivo,2017-01-01
39,69bp2EbF7Q2rqc5N3ylezZ,Sorry,2017-01-01
40,4GQVVsUnMbZeKIx9vguKlg,A Rosa E O Beija-Flor - Na Praia / Ao Vivo,2017-01-01
41,62LiYpeFoJaixqkaNRGg47,Aquele 1% - Ao Vivo,2017-01-01
