,id,Track Name,date
0,7wGoVu4Dady5GV0Sv4UIsx,rockstar,2018-01-01
1,0ofbQMrRDsUaVKq2mGLEAb,Havana,2018-01-01
2,2ekn2ttSfGqwhhate0LSR0,New Rules,2018-01-01
3,7EmGUiUaOSGDnUUQUDrOXC,Wolves,2018-01-01
4,7qiZfU4dY1lWllzX7mPBI3,Shape of You,2018-01-01
5,5UEnHoDYpsxlfzWLZIc7LD,River (feat. Ed Sheeran),2018-01-01
6,1zsG4eaZmkA1dvjDDsAGLK,Échame La Culpa,2018-01-01
7,3hBBKuWJfxlIlnd9QFoC8k,What Lovers Do (feat. SZA),2018-01-01
8,43ZyHQITOjhciSUUNPVRHc,Gucci Gang,2018-01-01
9,5k38wzpLb15YgncyWdTZE4,Him & I (with Halsey),2018-01-01
10,0tgVpDi06FyKpA1z0VMD4v,Perfect,2018-01-01
11,5CtI0qwDJkDQGwXD1H1cLb,Despacito - Remix,2018-01-01
12,6mrKP2jyIQmM0rw6fQryjr,Let You Down,2018-01-01
13,4lESS6vuruP6a79KWRaQou,Corazón,2018-01-01
14,7vGuf3Y35N4wmASOKLUVVU,Silence,2018-01-01
15,6Za3190Sbw39BBC77WSS1C,Criminal,2018-01-01
16,1mXVgsBdtIVeCLJnSnmtdV,Too Good At Goodbyes,2018-01-01
17,5Z3GHaZ6ec9bsiI5BenrbY,Young Dumb & Broke,2018-01-01
18,2rb5MvYT7ZIxbKW5hfcHx8,Mi Gente,2018-01-01
19,75ZvA4QfFiZvzhj2xkaWAh,I Fall Apart,2018-01-01
20,2DQ1ITjI0YoLFzuADN1ZBW,No Limit,2018-01-01
21,1bhUWB0zJMIKr9yVPrkEuI,Perfect Duet (Ed Sheeran & Beyoncé),2018-01-01
22,6QgjcU0zLnzq5OrUoSZ3OK,Feel It Still,2018-01-01
23,6De0lHrwBfPfrhorm9q1Xl,Me Rehúso,2018-01-01
24,5hcisvFMidkMJlElTO9Qmw,Sensualidad,2018-01-01
25,5AEtlRudpgdT5FtNiuly6Y,"Let Me Go (with Alesso, Florida Georgia Line & watt)",2018-01-01
26,3Ga6eKrUFf12ouh9Yw3v2D,Downtown,2018-01-01
27,0tKcYR2II1VCQWT79i5NrW,Thunder,2018-01-01
28,1j4kHkkpqZRBwE0A4CN4Yv,Dusk Till Dawn - Radio Edit,2018-01-01
29,7GX5flRQZVHRAGd6B4TmDO,XO TOUR Llif3,2018-01-01
30,7JNh1cfm0eXjqFVOzKLyau,Mayores,2018-01-01
31,1m69ELEgE6k5ZWsap40ozt,Se Preparó,2018-01-01
32,75FDPwaULRdYDn4StFN2rT,Bartier Cardi (feat. 21 Savage),2018-01-01
33,5tz69p7tJuGPeMGwNTxYuV,1-800-273-8255,2018-01-01
34,3B54sVLJ402zGa6Xm4YGNe,Unforgettable,2018-01-01
35,7iDa6hUg2VgEL1o1HjmfBn,Meant to Be (feat. Florida Georgia Line),2018-01-01
36,32DGGj6KlNuBr6WaqRxpxi,How Long,2018-01-01
37,6u0EAxf1OJTLS7CvInuNd7,Vai malandra (feat. Tropkillaz & DJ Yuri Martins),2018-01-01
38,3a1lNhkSLSkpJE4MSHpDu9,Congratulations,2018-01-01
39,7KXjTSCq5nL1LoYtL7XAwS,HUMBLE.,2018-01-01
40,2nUJvBO87SkxCViQsLc9Zr,Man's Not Hot,2018-01-01
41,0Zbbxnx4SGGHoIow4PpISP,Stargazing,2018-01-01
42,42CeaId2XNlxugDvyqHfDf,Candy Paint,2018-01-01
43,33bnxcjePIkcmNjEFTJX0l,Déjala que vuelva (feat. Manuel Turizo),2018-01-01
44,7sO5G9EABYOXQKNPNiE9NR,Ric Flair Drip (& Metro Boomin),2018-01-01
45,2xmrfQpmS2iJExTlklLoAL,I Miss You (feat. Julia Michaels),2018-01-01
46,6RUKPb4LETWmmr3iAEQktW,Something Just Like This,2018-01-01
47,2fQrGHiQOvpL9UgPvtYy6G,Bank Account,2018-01-01
48,7BKLCZ1jbUBVqRi2FVlTVw,Closer,2018-01-01
49,1xznGGDReH1oQq0xzbwXa3,One Dance,2018-01-01
50,3whrwq4DtvucphBPUogRuJ,Havana - Remix,2018-01-01
51,0qYTZCo5Bwh1nsUFGZP3zn,Felices los 4,2018-01-01
52,4iLqG9SeJSnt0cSPICSjxv,Attention,2018-01-01
53,70lnL3QaSOIIyMa2X9aVRL,Perro Fiel (feat. Nicky Jam),2018-01-01
54,2771LMNxwf62FTAdpJMQfM,Bodak Yellow,2018-01-01
55,4aWmUDTfIPGksMNLV2rQP2,Despacito (Featuring Daddy Yankee),2018-01-01
56,7ofxPmTNMj2GP07g1VZa0O,Que Va,2018-01-01
57,71bBFbfn2OBK5QwUJSLS44,More Than You Know,2018-01-01
58,6VpQdig9pdpTSIFItgkJV5,Never Be the Same,2018-01-01
59,1YZfcVLbbJwfizR5cDOp3q,MotorSport,2018-01-01
60,3VClLWqNn80Llv0PJOsKgr,Báilame - Remix,2018-01-01
61,3m660poUr1chesgkkjQM7P,Sorry Not Sorry,2018-01-01
62,79cuOz3SPQTuFrp8WgftAu,There's Nothing Holdin' Me Back,2018-01-01
63,0OlnLZY4cmQzT6ZGttvWBM,So Far Away (feat. Jamie Scott & Romy Dya),2018-01-01
64,5ChkMS8OtdzJeqyybCc9R5,Billie Jean,2018-01-01
65,0CcQNd8CINkwQfe1RDtGV6,Believer,2018-01-01
66,4zWO4gvuFtw6EJZC5FFGlr,Bum Bum Tam Tam,2018-01-01
67,1KSqYYJFyfTecXFk9M0prc,Escápate Conmigo (feat. Ozuna),2018-01-01
68,4dVpf9jZjcORqGTLUaeYj9,Plain Jane,2018-01-01
69,0JcNysfWVWaMS7R6vzGB2k,Robarte un Beso,2018-01-01
70,1x5sYLZiu9r5E43kMlt9f8,Symphony (feat. Zara Larsson),2018-01-01
71,7EI6Iki24tBHAMxtb4xQN2,Anywhere,2018-01-01
72,3ncgNpxLoBQ65ABk4djDyd,PICK IT UP (feat. A$AP Rocky),2018-01-01
73,5TysCiZtv1HnSWcTcUFusI,Suena El Dembow,2018-01-01
74,4DTpngLjoHj5gFxEZFeD3J,Codeine Dreaming (feat. Lil Wayne),2018-01-01
75,2OALaHcDdKkjYEpAr0Qzab,Lonely Together (feat. Rita Ora),2018-01-01
76,1wjzFQodRWrPcQ0AnYnvQ9,I Like Me Better,2018-01-01
77,3DXncPQOG4VBw3QHh3S817,"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)",2018-01-01
78,7fwXWKdDNI5IutOMc5OKYw,Mi Gente (feat. Beyoncé),2018-01-01
79,5yFSF6qQA1rcLsQRnBsZgb,All Falls Down (feat. Juliander),2018-01-01
80,1OAh8uOEOvTDqkKFsKksCi,Wild Thoughts (feat. Rihanna & Bryson Tiller),2018-01-01
81,6gBFPUFcJLzWGx4lenP6h2,goosebumps,2018-01-01
82,7y9iMe8SOB6z3NoHE2OfXl,Bad At Love,2018-01-01
83,6EpRaXYhGOB3fj4V2uDkMJ,Strip That Down,2018-01-01
84,5bcTCxgc7xVfSaMV3RuVke,"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)",2018-01-01
85,0KKkJNfGyhkQ5aFogxQAPU,That's What I Like,2018-01-01
86,693iqPOQvhI7PobtR8CC8v,Bonita,2018-01-01
87,3bidbhpOYeV4knp8AIu8Xn,Can't Hold Us - feat. Ray Dalton,2018-01-01
88,2z4pcBLQXF2BXKFvd0BuB6,Tip Toe (feat. French Montana),2018-01-01
89,7m9OqQk4RVRkw9JJdeAw96,Jocelyn Flores,2018-01-01
90,1yxgsra98r3qAtxqiGZPiX,BUTTERFLY EFFECT,2018-01-01
91,6PGoSes0D9eUDeeAafB2As,LOVE. FEAT. ZACARI.,2018-01-01
92,0OI7AFifLSoGzpb8bdBLLV,"Home (with Machine Gun Kelly, X Ambassadors & Bebe Rexha)",2018-01-01
93,7nZmah2llfvLDiUjm0kiyz,Friends (with BloodPop®),2018-01-01
94,2PpruBYCo4H7WOBJ7Q2EwM,Hey Ya!,2018-01-01
95,27SdWb2rFzO6GWiYDBTD9j,Cheap Thrills,2018-01-01
96,0afhq8XCExXpqazXczTSve,Galway Girl,2018-01-01
97,5WoaF1B5XIEnWfmb5NZikf,Sky Walker (feat. Travis Scott),2018-01-01
98,6kex4EBAj0WHXDKZMEJaaF,Swalla (feat. Nicki Minaj & Ty Dolla $ign),2018-01-01
99,6NWl2m8asvH83xjuXVNsuG,Betrayed,2018-01-01
100,0I20rLT2MJDhcF96AjbNYo,Stay,2018-01-01
101,1XRgIKC5TPwo7nWGyKqgG0,I Get The Bag (feat. Migos),2018-01-01
102,7tr2za8SQg2CI8EDgrdtNl,Slide (feat. Frank Ocean & Migos),2018-01-01
103,152lZdxL1OR0ZMW6KquMif,Location,2018-01-01
104,0QsvXIfqM0zZoerQfsI9lm,Don't Let Me Down,2018-01-01
105,3eR23VReFzcdmS7TYCrhCe,It Ain't Me (with Selena Gomez),2018-01-01
106,5Htb1uFQ1KrkFXlefS8oGj,Tell Me You Love Me,2018-01-01
107,0VgkVdmE4gld66l8iyGjgx,Mask Off,2018-01-01
108,7w87IxuO7BDcJ3YUqCyMTT,Pumped Up Kicks,2018-01-01
109,0ERbK7qVqveCaBWIiYCrl3,Bella y Sensual,2018-01-01
110,7Ed6BkggCS2KaKY5YlINaF,MIC Drop (feat. Desiigner) [Steve Aoki Remix],2018-01-01
111,5TmZYdHW6HJ9gt7Aokuql5,SUTRA,2018-01-01
112,5uCax9HTNlzGybIStD3vDh,Say You Won't Let Go,2018-01-01
113,0lJCqIx5BhZtf6QtYI2fbv,Vuelve,2018-01-01
114,2H3ZUSE54pST4ubRd5FzFR,Ain't No Mountain High Enough,2018-01-01
115,0CokSRCu5hZgPxcZBaEzVE,Glorious (feat. Skylar Grey),2018-01-01
116,4R55IUi2x7S5ek2SpebOiE,Bella,2018-01-01
117,0NiXXAI876aGImAd6rTj8w,Mama,2018-01-01
118,7MHN1aCFtLXjownGhvEQlF,Una Lady Como Tú,2018-01-01
119,5troof8mcGO3AafoDbk1gc,Look What You Made Me Do,2018-01-01
120,6m2LNopVJKsvBB9l7Z1rwn,Olha a Explosão,2018-01-01
121,2x0WlnmfG39ZuDmstl9xfX,End Game,2018-01-01
122,3b0EOvScbZUc0qJx0E1L2z,I Want You Back,2018-01-01
123,5aAx2yezTd8zXrkmtKl66Z,Starboy,2018-01-01
124,5T8EDUDqKcs6OSOwEsfqG7,Don't Stop Me Now - Remastered,2018-01-01
125,4V6MRo0CEAC9MwAm7dkPuL,Real Friends,2018-01-01
126,5yuShbu70mtHXY0yLzCQLQ,Go Flex,2018-01-01
127,6pyzBTIjcO2AMkKE6x2Otb,"Stayin' Alive - From ""Saturday Night Fever"" Soundtrack",2018-01-01
128,6p8NuHm8uCGnn2Dtbtf7zE,Slippery (feat. Gucci Mane),2018-01-01
129,22eADXu8DfOAUEDw4vU8qy,Ahora Dice,2018-01-01
130,1mqlc0vEP9mU1kZgTi6LIQ,September,2018-01-01
131,1NDxZ7cFAo481dtYWdrUnR,Pretty Girl - Cheat Codes X CADE Remix,2018-01-01
132,0yyZN5ASdrYu0XYWFzfxUu,3 A.M.,2018-01-01
133,7hDc8b7IXETo14hHIHdnhd,Passionfruit,2018-01-01
134,790MhTXPFrYkrqCKvpg4t1,Wanted You (feat. Lil Uzi Vert),2018-01-01
135,40oKW22ZNNkEdZLJTScaQI,Roll In Peace (feat. XXXTENTACION),2018-01-01
136,6fxVffaTuwjgEk5h9QyRjy,Photograph,2018-01-01
137,4IWAyPf1KMq7JCyGeCjTeH,Whatever It Takes,2018-01-01
138,0Qh38w01QRXK6KHIv0e3hb,What About Us,2018-01-01
139,0tPQPaOKM32WgMSbPCYyRH,Dirty Sexy Money (feat. Charli XCX & French Montana),2018-01-01
140,5knuzwU65gJK7IF5yJsuaW,Rockabye (feat. Sean Paul & Anne-Marie),2018-01-01
141,7krbSH3rd8lhIZvuzTV3Bl,Naked,2018-01-01
142,3NdDpSvN911VPGivFlV5d0,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",2018-01-01
143,4Km5HrUvYTaSUfiSGPJeQR,Bad and Boujee (feat. Lil Uzi Vert),2018-01-01
144,3kxfsdsCpFgN412fpnW85Y,Redbone,2018-01-01
145,4o6BgsqLIBViaGVbx5rbRk,You Make My Dreams,2018-01-01
146,0pDaqgIForVNO4jrtTxcWT,Agora Vai Sentar,2018-01-01
147,7AQim7LbvFVZJE3O8TYgf2,Fuck Love (feat. Trippie Redd),2018-01-01
148,5zSOVwaY3sVjnmLhuEfsuf,Tú Foto,2018-01-01
149,6b8Be6ljOzmkOmFslEb23P,24K Magic,2018-01-01
150,5u6vkDnOyaf8LsteDAj2ub,Ghostface Killers,2018-01-01
151,6PCUP3dWmTjcTtXY02oFdT,Castle on the Hill,2018-01-01
152,1lzr43nnXAijIGYnCT8M8H,It Wasn't Me,2018-01-01
153,6HZILIRieu8S0iqY8kIKhj,DNA.,2018-01-01
154,4fndbjoz1qJyK6JcLdKfzm,Stir Fry,2018-01-01
155,5GXAXm5YOmYT0kL5jHvYBt,I Feel It Coming,2018-01-01
156,6eT7xZZlB2mwyzJ2sUKG6w,White Iverson,2018-01-01
157,5PB8zB1MOZASboLquvinMF,Reggaetón Lento (Remix),2018-01-01
158,1Slwb6dOYkBlWal1PGtnNg,Thinking out Loud,2018-01-01
159,3ebXMykcMXOcLeJ9xZ17XH,Scared to Be Lonely,2018-01-01
160,39shmbIHICJ2Wxnk1fPSdz,Should I Stay or Should I Go - Remastered,2018-01-01
161,3A7qX2QjDlPnazUsRk5y0M,2U (feat. Justin Bieber),2018-01-01
162,6WbADFqMvR8N5u0BvtsWQE,Without You (feat. Sandro Cavazza),2018-01-01
163,2eAZfqOm4EnOF9VvN50Tyc,The Way Life Goes (feat. Oh Wonder),2018-01-01
164,7vu0JkJh0ldukEYbTVcqd0,Issues,2018-01-01
165,1LszjjoVwDDZcWUQbzeDLG,Explícale (feat. Bad Bunny),2018-01-01
166,3qk4wRMDlaeagZGjSYbsOV,Sober,2018-01-01
167,7foypmc7KZyU716Yv63BPe,Saint,2018-01-01
168,32OlwWuMpZ6b0aN2RZOeMS,Uptown Funk,2018-01-01
169,38yBBH2jacvDxrznF7h08J,Slow Hands,2018-01-01
170,1Qg9jWGDkKAGZXj5v2OG59,Wait,2018-01-01
171,5b88tNINg4Q4nrRbrCXUmg,"Happy - From ""Despicable Me 2""",2018-01-01
172,630sXRhIcfwr2e4RdNtjKN,Rewrite The Stars,2018-01-01
173,72jbDTw1piOOj770jWNeaG,Paris,2018-01-01
174,209gZgcfLq2aUuu51vOWBl,Hey DJ,2018-01-01
175,5EId1m4DNwTf3at31w8bPJ,El Farsante,2018-01-01
176,0L7loeTIg6akW84aEQZpCT,Light It Up (feat. Nyla & Fuse ODG) - Remix,2018-01-01
177,1louJpMmzEicAn7lzDalPW,No Promises (feat. Demi Lovato),2018-01-01
178,6JV2JOEocMgcZxYSZelKcc,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",2018-01-01
179,5lXcSvHRVjQJ3LB2rLKQog,Superstition - Single Version,2018-01-01
180,76cy1WJvNGJTj78UqeA5zr,IDGAF,2018-01-01
181,2xGjteMU3E1tkEPVFBO08U,This Is Me,2018-01-01
182,7F9vK8hNFMml4GtHsaXui6,Back to You (feat. Bebe Rexha & Digital Farm Animals),2018-01-01
183,2374M0fQpWi3dLnB54qaLX,Africa,2018-01-01
184,6urLjX35oXXRYtcH1b3dCh,Dubai Shit,2018-01-01
185,6ElmxV9B2mSNscEjP27M7i,Chambea,2018-01-01
186,2RttW7RAu5nOAfq6YFvApB,Happier,2018-01-01
187,1OOtq8tRnDM8kG2gqUPjAj,Beat It - Single Version,2018-01-01
188,6eYxmK9fdL4hwLnXG2zY3s,Look At Me!,2018-01-01
189,4c2W3VKsOFoIg2SFaO6DY5,Your Song,2018-01-01
190,4knL4iPxPOZjQzTUlELGSY,Rake It Up,2018-01-01
191,6mICuAdrwEjh6Y6lroV2Kg,Chantaje (feat. Maluma),2018-01-01
192,2vjmyyAnDUzilFYxOlTdO1,GUMMO,2018-01-01
193,4bHsxqR3GMrXTxEPLuK5ue,Don't Stop Believin',2018-01-01
194,3ZFTkvIE7kyPt6Nu3PEa7V,Hips Don't Lie,2018-01-01
195,5Y9fnynLlIvqtM710MHzfz,Síguelo Bailando,2018-01-01
196,2EEeOnHehOozLq4aS0n6SL,iSpy (feat. Lil Yachty),2018-01-01
197,2SiXAy7TuUkycRVbbWDEpo,You Shook Me All Night Long,2018-01-01
198,2mfUa8bLs2s5N4VaqJZ4lZ,Most Girls,2018-01-01
199,2yLa0QULdQr0qAIvVwN6B5,...Ready For It?,2018-01-01
329,4v094LQ9eF10k2O2Te2ngK,Too Much To Ask,2018-01-02
330,43ay9lQZ5rfNcOOHhRF2cM,The Greatest Show,2018-01-02
345,0Wv5wuenRLI3BcwgT3HPIP,A Different Way (with Lauv),2018-01-02
348,0Gl5s8IhMmQE5YQwM8Qx1J,Never Enough,2018-01-02
350,0RTzJVkunbGwuRjXDFHnjf,Dreamer,2018-01-02
354,5PIBgH1cUFwu5IiUk9tnN9,Walk On Water (feat. Beyoncé),2018-01-02
356,0RoA7ObU6phWpqhlC9zH4Z,A Million Dreams,2018-01-02
361,2Za1AlJNvksouPPWbXpR2X,Good Old Days (feat. Kesha),2018-01-02
368,6NFyWDv5CjfwuzoCkw47Xf,Delicate,2018-01-02
370,5Ohxk2dO5COHF1krpoPigN,Sign of the Times,2018-01-02
372,6jA8HL9i4QGzsj6fjoxp8Y,There for You,2018-01-02
373,2cKovq3l6OJjhVVDbVKOsr,The Other Side,2018-01-02
374,0P6AWOA4LG1XOctzaVu5tt,The Weekend - Funk Wav Remix,2018-01-02
375,4vkVvmjIiQibQ6zJnC1Q9z,Sucker for You,2018-01-02
376,7w9bgPAmPTtrkt2v16QWvQ,"Lose Yourself - From ""8 Mile"" Soundtrack",2018-01-02
381,7oK9VyNzrYvRFo7nQEYkWN,Mr. Brightside,2018-01-02
383,51ChrwmUPDJvedPQnIU8Ls,Dive,2018-01-02
385,68EMU2RD1ECNeOeJ5qAXCV,We Don't Talk Anymore (feat. Selena Gomez),2018-01-02
386,3AFfyUXTfj12PgrOkZiiJo,Treat You Better,2018-01-02
388,4pdPtRcBmOSQDlJ3Fk945m,Let Me Love You,2018-01-02
391,5gIRPQWULwrvIt0F6pY7ph,Stranger Things,2018-01-02
392,4N1c5rmWOzRmB9SMacr5wB,Loco Enamorado,2018-01-02
394,1f5cbQtDrykjarZVrShaDI,Drowning (feat. Kodak Black),2018-01-02
395,0MIcPSq9n2z5H8TAfEstri,Quiero Repetir,2018-01-02
396,5qqabIl2vWzo9ApSC317sa,Wonderwall - Remastered,2018-01-02
397,7mldq42yDuxiUNn08nvzHO,Body Like A Back Road,2018-01-02
398,75JFxkI2RXiU7L9VXzMkle,The Scientist,2018-01-02
399,3xWEI23MLJrD0dpDcDUTW6,Déjate Llevar,2018-01-02
578,2m2ZGfJcs3lHWNPzhWH3XH,La Modelo,2018-01-03
589,2YzmfPLqUx5CJOaw5ThsBV,Plain Jane REMIX,2018-01-03
592,5xNUR50KxswPRAvx7S163g,Come Alive,2018-01-03
